data-division,data-items-familyName,data-items-species-speciesName,data-items-species-above.,data-items-species-folders-description,data-items-species-folders-prepared.,data-items-species-folders-above.
DICOTYLEDONES,ZYGOPOHYLLEAE,"Tribulus terrestris, L.",,"a. Plant with leaves, fruits, and flowers. Smyrna; Dr. J. D. Hooker and D. Hanbury, 20 Sept., 1860.",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Zygophyllum Fabago, L.",,"a. Plant with flowers and young fruit. Damascus; B. T. Lowne, 1863-4. [This species possesses vernifuge and antipyretic properties, and its flower buds are used instead of capers. Rosenthal, Pl. Diaph., p. 886.]",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Zygophyllum simplex, L.",,"a. Plant with flowers. Aden, 1857; F. Hanbury. [The leaves are employed by the Arabs as a remedy for spots on th corns. The taste of the plant is so disagreeable, that no animal will touch it. Rosenthal, L. c. p. 386. Z. coccineum, L., is apparently used in the same way. See Pharm. Journ. (3), xix., p. 744.]",,
DICOTYLEDONES,PELARGONIACE,RUNEE,,,,
DICOTYLEDONES,TRIBE II. P,"Pelargonium Radula, Ait.",,"Branchlet with fruit. Ex hort. W. W. Saunders, Aug., 1857.",,
DICOTYLEDONES,TRIBE II. P,"Pelargonium Radula, Ait.",,"Ditto, ex hort. nost., Sept., 1857.",,
DICOTYLEDONES,TRIBE II. P,"Pelargonium Radula, Ait.",,"Branchlet with flowers (2 sheets). (""Var. roseum.""). From Cannes, where it is cultivated for the sake of its essential oil, 9 July, 1857.",,
DICOTYLEDONES,TRIBE II. P,"Pelargonium graveolens, Ait.",,"Branchlet with flowerbuds. Royal Gardens Kew, 11 Sept., 1857.",,
DICOTYLEDONES,TRIBE II. P,"Prunus Mahaleb, L.",,"Flowering and fruiting twigs. (1) Vienne, Isère, 27 April, 1854 (flowers).",,
DICOTYLEDONES,TRIBE II. P,"Prunus Mahaleb, L.",,"Mont Major, Arles, 8 May, 1854 (fruits).",,
DICOTYLEDONES,TRIBE II. P,"Prunus Mahaleb, L.",,"Near Grenoble, 18 June, 1857 (fruits).",,
DICOTYLEDONES,TRIBE II. P,"Prunus Padus, L.",,"Flowering twig ; (2) fruiting twig. (1) Val St. Christophe, 23 June, 1857 ; (2) Prémol, near Uriage, Aug., 1864.",,
DICOTYLEDONES,TRIBE II. P,"Prunus prostrata, Labill.",,"Flowering and (2) leafy twigs. (1) Mount Hermon, 6,000 feet ; B. T. Lowne, 1863-6 (flowers).",,
DICOTYLEDONES,TRIBE II. P,"Prunus prostrata, Labill.",,"Lebanon, 6,000 feet ; 28 Sept., 1860; Dr. J. D. Hooker and D. Hanbury (leaves). ""A stunted shrub clinging to the rock.""",,
DICOTYLEDONES,N/A,Oxalis,,Tribe VI. Oxalidee.,,
DICOTYLEDONES,RUTACEE,"Oxalis Acetosella, L.",,"Plant with flowers and rhizome. Reigate, 14 May, 1857.",,
DICOTYLEDONES,RUTACEE,"Oxalis Acetosella, L.",,"Ditto. Great Saling, Essex, 21 April, 1868.",,
DICOTYLEDONES,RUTACEE,"Oxalis megalorhiza, Jacq.",,"With flowers and detached root and flowers. The root has been imported into London under the name of ""Chelileo.""",,
DICOTYLEDONES,N/A,Rutaceae,,Rutaceae,,
DICOTYLEDONES,N/A,"Peganum Harmala, L.",,"Plant with fruit. Dr. J. Hooker and D. Hanbury. Plain of Leontes, Syria 10 Oct., 1860.",,
DICOTYLEDONES,N/A,"Peganum Harmala, L.",,"Ditto. Stewart,'Punjaub Plants,' p. 38.",,
DICOTYLEDONES,N/A,"Ruta angustifolia, Pers.",,"Branch with flowers and young fruit. Mortola, near Mentone, 23 May, 1868.",,
DICOTYLEDONES,N/A,"Ruta angustifolia, Pers.",,"Branch with flowers. Conagenies, near Nismes, May, 1856.",,
DICOTYLEDONES,N/A,"Ruta bracteosa, D. C.",,Branch with flowers and fruit.,,
DICOTYLEDONES,N/A,"Ruta bracteosa, D. C.",,(1) Fruit.,,
DICOTYLEDONES,N/A,"Ruta bracteosa, D. C.",,(2) Flowers.,,
DICOTYLEDONES,N/A,"Empleurum serrulatum, Ait.",,Twig with flowers and fruit.,,
DICOTYLEDONES,N/A,"Xanthoxyllum alatum, Roxb.",,"Branchlet, with fruit.",,
DICOTYLEDONES,N/A,"Xanthoxyllum alatum, Roxb.",,"Ditto. Cultivated against a south wall in the garden, Clapham Common. 10 Feb., 1869.",,
DICOTYLEDONES,N/A,"Xanthoxyllum alatum, Roxb.",,"From Hang-Chow, China. Received from Thos. Hanbury as the tree yielding the spice called Hau-teaou, Oct., 1856.",,
DICOTYLEDONES,N/A,"Xanthoxyllum alatum, Roxb.",,"To specimen (e) two letters are attached, one from Dr. Hooker, and another from Alphonse De Candolle. The former letter has a note attached in Daniel Hanbury's writing, to the following effect:",,
DICOTYLEDONES,N/A,"Xanthoxyllum alatum, Roxb.",,"Subsequent comparison with a large suite of specimens from the Kew Herbarium, as well as specimens from the Herbarium of the Linnean Society, fully confirmed Dr. Hooker's opinion that the Hang- Chow plant is Xanthoxyllum alatum, Roxb.",,
DICOTYLEDONES,N/A,"Xanthoxyllum alatum, Roxb.",,"In the other letter De Candolle states that he has compared Hanbury's X. alatum with Xanthoxyllum aconthopodium, D.C., and that the latter is very different, having imparipinnate leaves with 9 leaflets, not terete, the racemes more narrowly winged, the leaflets longer, more gradually attenuated above, and generally long; thin spines (""aculeoles"") on the middle side. The secondary ones are more closely approxi- mated, more numerous, more prominent, and the leaflets are pubescent on the secondary veins. The length of the leaf is 7-8 inches. The spines of the rachis are more veined.",,
DICOTYLEDONES,N/A,"Xanthoxyllum Bungei, Pianchon.",,Leafy stem.,,
DICOTYLEDONES,N/A,"Xanthoxyllum Bungei, Pianchon.",,Twigs in fruit.,,
DICOTYLEDONES,N/A,"Xanthoxylum pipertum, D.C.",,"Mr. Bennett would call this “X. pipertum.” [The fruit of X. pipertum in the Hanbury Materia Medica collection differs from this specimen in being reticulated and without raised tubercles. 39. Xanthoxylum pipertum, D.C. Clapham, cultivated in the garden, 1 Oct., 1864. This specimen has only the flowers, but is accompanied by a pen and ink sketch of the young fruit. [Note.—The fruit of X. alatum is covered with small, raised, scattered tubercles, which are apparently oil glands. These are more abundant and crowded in X. Bungei. The fruit of X. pipertum in the Hanbury Collection of Materia Medica differs from both these in having a reticulated surface, in which the oil glands appear to be sunken. Mr. Stronach's specimen has crowded tubercles like the other specimens of X. Bungei. It is not apparent, therefore, why Hwa-teaen is stated in 'Science Papers,' p. 228, to be applied to the fruits of “the two species of Xanthoxylum,” viz.: X. pipertum, D.C., and X. alatum, Roxb., since from the Herbarium specimens above enumerated it would seem that fruits of X. alatum are used in Hang-Chow under the name of Hwa- teaen, and these of X. Bungei under the same name in Pekin.] Tribe VII. Aurantiee. 90. Citrus Bergamia, Risso. (Bergamot Orange.) a. Twig with flowers and rind of fruit. Gardens at Giampilieri, near Messina, 13 May, 1872. b. Twig with flowers. Cultivated, Reggio, Calabria, 15 May, 1872. A pencil drawing of two fruits accompany this specimen, (1) of a fruit from Palazzo Orego, April 1872, and (2) a larger one from the one from the Garden of the Instituto Agrario Castelnuovo, near Palermo, 21 May, 1872. 91. Citrus Bigaradia, Duham. (Bigaradier, Seville Orange). a. Twig without flowers. From the garden of M. Chiris, Grasse, 6 July, 1857. Var. Aurantium (Orange de Portugal). a. Twig without flowers. From the garden of M. Chiris, Grasse.",,
DICOTYLEDONES,N/A,"Citrus Bergamia, Risso.",,"a. Twig with flowers and rind of fruit. Gardens at Giampilieri, near Messina, 13 May, 1872. b. Twig with flowers. Cultivated, Reggio, Calabria, 15 May, 1872. A pencil drawing of two fruits accompany this specimen, (1) of a fruit from Palazzo Orego, April 1872, and (2) a larger one from the one from the Garden of the Instituto Agrario Castelnuovo, near Palermo, 21 May, 1872.",,
DICOTYLEDONES,N/A,"Citrus Bigaradia, Duham.",,"a. Twig without flowers. From the garden of M. Chiris, Grasse, 6 July, 1857. Var. Aurantium (Orange de Portugal). a. Twig without flowers. From the garden of M. Chiris, Grasse.",,
DICOTYLEDONES,N/A,"Citrus medica, Rasso.",,"a. Twig without flowers. From Giampilieri, near Messina, 13 May, 1872. ""The flowers are unisexual.""",,
DICOTYLEDONES,N/A,Citrus species.,,"a. Twig without flowers. From the garden of M. Chiris, Grasse, 6 July, 1857. b. Twig with flowers. Mentone, May, 1866; cultivated. c. Ditto, with spines on the twigs. ""This is the orange tree that is raised from pips, and is used for grafting the bitter orange upon. The stocks shoot out below and are cut off, the leaves then being distilled for essential oil.""",,
DICOTYLEDONES,BURSERACE.E.,"Brucea antidysementica, Mill.",,"Branchlet in fruit, with detached flowering spikes. Route de Mai, Gouagoua à Dobrasina (Abyssinie); Quartin- Dillon et Petit, Sept., 1840. Ex Herb. Cosson. [This plant is known in Abyssinia under the name of ""Wutachina."" The inner bark is used for dysen- tery and intermittent fever. Rosenthal, Plant. Diaph., p. 873.]",,
DICOTYLEDONES,BURSERACE.E.,"Quassia amara, L.",,"Branchlet, with flowers, young fruits, and detached flowers and fruits. A small tree. In damp woods, Frijoli Station, Panama Railway, 6 Feb., 1862. No. 491; Sutton Hayes.",,
DICOTYLEDONES,BURSERACE.E.,"Cneorum tricoccum, L.",,"Fruiting branchlet. Hill near Catte, 23 May, 1854.",,
DICOTYLEDONES,BURSERACE.E.,"Balsamodendron Playfairii, Hook, f.",,"Twigs with leaves and fruit. Somali Country, Captain Playfair ; received Dec., 1862. [This tree yields Hotai gum, described by Vaughan and Hanbury in Pharm. Journ., vol. xii, p. 227.]",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia Carterii, Birdw.",,"Includes three forms, viz.:
(1) Boswellia No. 5, Oliver, Fl. Tropical Africa, vol. i., p. 325.
(2) Boswellia No. 6, Oliver, Birdw, tab. 29. With leaves crenate or crisped, shortly pubescent, rugose beneath.
(3) Boswellia collected by Carter in Hadramaut; Birdw, tab. 30.
No. 3 is in cultivation at Bombay, and either No. 1 or No. 2 or both at Aden.",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia Carterii, Birdw.",,"Boswellia BhaU-Dajiana, Birdw, Linn. Trans. xxvii., tab. 31
Sent to Bombay as ""Mohr Add."" It is not known if they present a distinct appearance under cultivation from that presented by the original dried specimens.",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia Carterii, Birdw.",,"Boswellia No. 4, Oliver.
Also sent to Bombay as ""Mohr Add."" There is a great con- trast in colour between the upper and under sides of of the leaf.",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia Carterii, Birdw.",,"Boswellia Frereana, Birdw, tab. 32. ""Yegaar.""",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia Carterii, Birdw.",,"The specimen of Boswellia cultivated in the Victoria Gardens, Bombay, are evidently not in a congenial climate, and exhibit a weak, drawn up appearance, wanting in those distinctive features which should enable one to connect them with the parent plant from the Somali Country. The drier climate of Aden is doubtless better suited to these plants.",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia BhaU-Dajiana, Birdw. ""Mohr Add""",,"Twig without flowers or fruit. From Dr. Birdwood, Bombay, June, 1888.",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia BhaU-Dajiana, Birdw. ""Mohr Add""",,"Ditto. Victoria Gardens, Bombay, Feb. 1870 ; E. Samuel.",,
DICOTYLEDONES,BURSERACE.E.,"Boswellia BhaU-Dajiana, Birdw. ""Mohr Add""",,"A small tree about 6 feet high; flowered in April, 1868.",,
DICOTYLEDONES,N/A,"Boswellia Carterii, Birdw. ""Mohr Madow""",,"Var. A. a, b, c. Leafy twig. d. Leaves without stem. Somali Country; Capt. Playfair; received in England Dec. 1862. Boswellia No. 5; see Oliver, Fl. Trop. Africa, vol. i. (1868) p. 324; Birdwood, Trans. Linn. Soc. vol. xxvii., t. 29. [The leaves on a, c, and d specimens have curious small urceolate galls on the under surface.] o. Leafy twig with stem and flowers. f, g. Leafy twigs. From one of the trees in the gardens at the Tanks at Aden ; J. Collins; received in England 1874. Var. B. Boswellia No. 6, Oliver, ('Fl. Trop. Africa, I. (1868) p 324.",,
DICOTYLEDONES,N/A,"Boswellia Frereana, Birdw. ""Yegaar""",,"Leafy twig; (2) Flowering twig, with detached flowers and young fruit. (1) Aden, Dr. Birdwood; received by him from Capt. Playfair. (2) From a tree planted by Capt. Playfair in the public gardens at Aden, and gathered there by Dr. Birdwood, Sept., 1868. It is the Boswellia No. 3, Oliver, Fl. Trop. Africa, I., (1868) p. 324. To this sheet (a) the following note from Professor Fluckiger is attached:— ""My specimen of true Boswellia papyrifera, collected by Schimper in the Faisoki Country, Upper Nile, does not resemble the 'Mohr Madow,' but rather the 'Mohr Add.' I think that the 'Yegaar' tree is exactly what I called in my Lehrbuch, Boswellia acaea, 5 Aug. 1867.""",,
DICOTYLEDONES,N/A,"Boswellia Frereana, Birdw. ""Yegaar""",,"Twig without flowers or fruit; received in England Dec., 1862. (2) Detached fruits from Captain S. B. Miles, May, 1871. Somali Land, Captain Playfair; received in England, Dec., 1862. On this sheet D. H. has written as follows:— ""Extract of a letter, dated Aden, 16 Nov., 1862, from Capt. Playfair to Sir W. J. Hooker: 'The ""Luban Maites,"" the plant producing which is called 'Yegaar.' It grows nearest the coast, and always out of the smooth limestone rock. I have never noticed any roots, properly so called, the stem growing out of an intumescence at the base, which adheres to the rock as a boy's sucker to a stone. The leaves, when crushed, emit a powerful aroma of the gum, and in this respect it differs from the other species.' [The leaves are glabrous and glaucous.]",,
DICOTYLEDONES,N/A,"Boswellia Frereana, Birdw. ""Yegaar""",,"Leafy twig and (2) detached leaves. (1) Victoria Gardens, Bombay, Jan., 1870; E. Samuel. Two or three plants between 3 and 6 feet high, much branched, bark as Dr. Carter's, leaves corrugated. (2) From the gardens at The Tanks, Aden; 21 Jan., 1872; Dr. Thos. Thomson.",,
DICOTYLEDONES,N/A,"Boswellia No. 4. Oliver, (Fl. Trop. Africa, vol. i., 1868, p. 324).",,"Leafy branchlet. Bunder Murayah, Somali Country; Captain Playfair; received Dec., 1862. This sheet bears the following:— ""Extract of letter, dated Aden, 16 Nov., 1862, from Capt. Playfair to Sir W. J. Hooker: 'The ""Mohr Add,"" which produces the gum called ""Luban Bedow"" or ""Sheheri,"" also grows out of the rock, but sometimes also out of the soil or detritus of the limestone rock. It is never found on the range of hills close to the sea, but on those further inland, and on the highest parts of those hills.'",,
DICOTYLEDONES,N/A,"Boswellia No. 4. Oliver, (Fl. Trop. Africa, vol. i., 1868, p. 324).",,"3. Leafy branchlet. Somali Country ; Captain Playfair ; given by him to Dr. Birdwood, Jan., 1862. This plant, as well as Boswellia No. 5, yields ""Luban Belowi"" and ""Luban Sheheri,"" and was received at Kew as ""Mohr Add,"" a name applied by Birdwood also to B. Bhan-Dajiana. See 'Pharmacographia' 1st ed., p. 120. [The leaflets are glabrous above, with very short down below; whereas in B. Fereana they are entirely glabrous and glaucous.]",,
DICOTYLEDONES,N/A,"Bursera Delpechiana, Poiss.",,"Elaphrium sp. ""Linaloe tree of the Mexicans."" a. Leaflets only. (1) From Mr. J. Collins. (2) Ditto, collected by Mr. Grandeson, (Oujaca!) Communicated by Hugo Finck, Cordoba, Mexico, Nov. 1870. - Some fruits are also attached to this sheet, but no record of their source is given. A note on the drug by J. Collins is attached to the sheet, see Pharm. Journ., (2) x., p. 590. [The Linaloe of Mexico has been more recently stated to be obtained from Bursera Delpechiana, Poisson, Bull. de l' Assoc. France pour l' Avancement des Sciences, tom. xxii., p. 305, pl. x. Blois 1884. See Pharm. Journ., (3) xviii., p. 132.]",,
DICOTYLEDONES,N/A,"Bursera tenutifolia, Engl.",,"Elaphrium species. ""Aceitillo"" or ""Sassafras."" a and b. With flowers and fruit. From Hugo Finck, Cordoba, Mexico; received April, 1865. ""Yields by incision a transparent oleo-resin, whence its name 'Aceitillo,' having a very strong odour of Sassafras. The oleo-resin is used to purify the blood, also in gargles for sore throat, and in aphthilis."" Attached to this sheet is a pen and ink drawing of the flower, with the following remarks:-- ""Petals concave, stamens 8 (four long and four short), sometimes sub-equal; some flowers male."" (The fruits taste rather like a mixture of carraways and bergamot than like sassafras, and appear more likely to yield carvane than safrol. The plant has",,
DICOTYLEDONES,MELIACEAE,"Melia Azedarach, L.",,"a. (1.) Leaves only. (2.) Twig with flowers. (1) India; (2) Golfe de Jouan, near Cannes; cultivated 1866.",,
DICOTYLEDONES,RHAMNÉ,"Dulongia acuminata, H.-B.K.",,"Yerba de Viruela. Branchlet with flowers. Mountains of Songolica, 7,000—9,000 ft. A large bush or small tree. Foliage in decoction used by the Indians to cure small pox; H. Finek, Cordoba, Mexico, 1865.",,
DICOTYLEDONES,RHAMNÉ,"Rhamnus catharticus, L.",,"Male plant. Dartford, Kent, 21 June, 1856.",,
DICOTYLEDONES,RHAMNÉ,"Rhamnus catharticus, L.",,"Female plant in fruit. Merstham, Surrey, 27 July, 1858.",,
DICOTYLEDONES,RHAMNÉ,"Rhamnus chlorophorus, Dene.",,"Leafy stem only. R. utitius. Dene. From Dr. Lindley. Sheet a. has attached to it seeds of R. chlorophorus, Decaisne, from M. Rondot, 1857. An autograph letter from Dr. Lindley attached to the sheet states that the small leaved specimen (a. 1.) R. chlorophorus, is unquestionably identical with R. globosa, Bunge. b. Shanghai, 1857. ""Rhamnus chlorophorus, Decaisne."" [This specimen has neither flowers nor fruit, and differs from R. chlorophorus in having thinner, broader, and more obovate leaves, distinctly tapering below.] c. Green-dye plant. Shanghai ; received Oct., 1856. [This specimen also has neither flowers nor fruit, but differs from both the preceeding (a and b.) in the entire revolute margin of the leaves, triangular acuminate stipules, and the strongly reticulated under surface of the leaves. Possibly it is the ""other plant"" alluded to by Dr. Lindley as being ""more like a Ficus than a Rhamnus, which it certainly is not."" See R. utitius.] d. Engraving of R. chlorophorus, Dene., by Riocreux (pl. ii.)",,
DICOTYLEDONES,RHAMNÉ,"Rhamnus Frangula, L.",,"Branchlet, with flowers. Near Lindfield, Sussex, 21 July, 1855.",,
DICOTYLEDONES,Rhamnaceae,"Rhamnus infectarius, L.",,"Branchlets, with flowers and fruits. (1) Pte de St. Loup, 24 May, 1854. (2) With fruit. Pont du Gard, 30 May, 1854. (3) With fruit. Gap, 2 July, 1857.",,
DICOTYLEDONES,Rhamnaceae,"R. utilis, Dene.",,"From Dr. Lockhart's garden, Shanghai; received Oct., 1856. [Identical with specimen a (2) under R. chlorophorus, q.v.] A note is appended to this specimen in Dr. Lindley's handwriting, 22 May, 1857, stating:—","See Hanbury Science Papers, p. 125-127.)",
DICOTYLEDONES,Rhamnaceae,"R. utilis, Dene.",,"R. coraifolius, according to Dr. Lindley's first opinion. (b) From Mr. Glendinning, Turnham Green, 1857. An engraving of R. utilis, by Ricoreux (pl. 1) is placed with this specimen. (c) From Mr. Glendinning, Turnham Green. ""This is the plant Mr. Glendinning calls the narrow leaved variety."" It has neither flowers nor fruit.",,
DICOTYLEDONES,Rhamnaceae,"Zisyphus Lotus, Lam.",,"With flowers and fruit. Apparently an Indian specimen. [This is one of the plants of which the fruits are said to have been eaten by the Lotophagi.-Treas. Bot., p. 1251.]",,
DICOTYLEDONES,Rhamnaceae,"Zisyphus Spina-Christi, Willd.",,"With flowers and fruit. Jaffa, 16 Oct., 1860 ; Dr. J. D. Hooker and D. Hanbury. b. With flowers. Mejdel Kerim, near Caiffs, 31 Oct., 1860 ; Dr. J. D. Hooker and D. Hanbury. ""An enormous tree in the burial place outside the village.""-D. H. [This specimen has leaves which are more broadly oval and more obtuse, and the flowers are in much larger and denser clusters than in specimen a.]",,
DICOTYLEDONES,Rhamnaceae,"Zisyphus vulgaris, Lam.",,"With flowers. Shanghai, 1857 ; D. Hanbury. a. and b.",,
DICOTYLEDONES,TRIBE II. R,"The sheet bears the Chinese characters for the names- ""Tson-Tsz-Shoo,"" i.e., Date-stone Tree, and ""Meih- tscou,"" i.e., Honey Date.",,Sheet b. has a pencil drawing of the flowers.,,
DICOTYLEDONES,TRIBE II. R,"AMPELIDEE. 119. [Vitis Giberrii, Baker.]",,"a. Flowering branchlet. ""No. 3, Butua batata vel Uva do mato,"" used medicinally in the same cases as ""Pareira Brava."" Theodor Peckolt, Cantagallo, Brazil, 1867, ""with fruit in alcohol, and root.""",,
DICOTYLEDONES,TRIBE II. R,"SAPINDACEAE. 120. Acer campestre, L.",,"a. Leafy twig. Vienne, 1 May, 1866. ""The form of leaf bears a remarkable resemblance to that of Liquidambor orientale, D. H.""",,
DICOTYLEDONES,TRIBE II. R,"121. [Dodonoe viscous, L. var. Radik.]; Dodonoe Burmanniata, D. C.",,"a. Leafy branchlet. ""Samatha"" (Hind); ""Shanishid"" (Pers); Stewart, 'Punjaub Plants,' p. 31. This specimen was examined by Dr. Radikofcr in Oct., 1885, and identified as D. viscous, var.",,
DICOTYLEDONES,TRIBE II. R,"122. [Matayba Guianensis, Aubl.]; Cupania sp. ""Parica.""",,"a. b. c. Leafy twigs with flowers. Santarem, Para; H. W. Bates, 1853. Attached to sheet a. is a note by Dr. C. T. P. von Martius, in which he states: - ""It is without doubt, Cupania micrantha, Mart., agreeing totally with its description, given in Herb. Fl. Bras., sub. No. 247, c. 1. To this species must be added as a synonym Cupania laxiflora, (Spruce), Bentli. Bentham has been perhaps induced to hold his laxiflora for different from Martius' C. micrantha, with reference to a Cujabian specimen of C. micrantha given out in the Herb. Hort. Bras., sub. No. 274, but I believe this is only a'vegetior,' and thickly flowering form of the C. micrantha, growing in the fertile, not the inundated, soil of Cujaba. If this No. 274 should prove different from the true C. micrantha, it would be necessary to keep up the name of C. micrantha, Mart. (including C. laxiflora), and to establish a new name for 274, but I believe that Mr. Bentham shall not find any powerful distinctive note in leaves and flowers."" [As the other two specimens are marked, in Hanbury's writing, ""C. micrantha, Mart?""]
I submitted the specimens to Dr. Radikofcr, in Oct., 1885, during his stay at Kew, where he was working at a monograph of the Sopliadaceae, and he identified them as Mutsysa guineensis; Aubl.] In Benth. and Hook. Gen. Pl. 1, p. 490, the genus Mutsysa is sunk under Botanis, D. C. [See also Radikofcr, Uber die Gliederung der Familie der Sopliadaceae, p. 260.]",,
DICOTYLEDONES,TRIBE II. R,"123. [Talisia cerasina, Radik, (in Sitzungab. Munich Academy, 1878;] Sapindus cerasinus, Benth. MSS. et Herb.]",,"a. Branchlet in flower. ""No. 31. Pitomba, a low tree, of the stature and size of the coffee tree, growing on semi-cultivated ground. A decoction of its leaves is a very general remedy in venereal gonorrhoea. The leaves in large quantities are also used to dye clothing black. The fruit has a pleasant, acid juice."" (Extracted from 'Notes on Botanical Specimens,' sent from Santarem, Para, Aug., 1853, by H. W. Bates.) Drawings in pen and ink, of dissected flowers, by D. H., are attached to this sheet.",,
DICOTYLEDONES,ANACARDIACEAE,"Odina obvata, Hook, f.",,"With leaves and flower buds, and detached leaves. Somali Country, E. Africa; Captain Playfair. The tree is said to yield a kind of Luban (frankincense), which is not used by the Somalis. Received Dec., 1862.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Atlantica, Desf.",,"Twig, with leaves and fruit. Ex Herb. E. Cosson. Grande ravine du plateau du territoire de la tribu du Ouled, Krabhd Garaba (serecle du Saids), 20 May, 1852.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Atlantica, Desf.",,"Twig, with leaves and flowers. Environs d'Annale, Algeria; A. Charoy, April, 1864.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Atlantica, Desf.",,"Twig, with leaves and fruit. Vallee du Chefif, pres Milianah, Algeria; E. Cosson, July, Var. PalaeStina. (P. PalaeStina, Boiss.)",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Atlantica, Desf.",,"Branchlet, with leaves and fruit. Between Safed and Caififs; Dr. J. D. Hooker and D. Hanbury, 31 Oct., 1860.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Lenticus, L.",,"Leafy branchlet, with flowers. Three specimens. (1) Toulon, May, 1856. (2) With flattened leaf gall. Grasse, 6 July, 1857. (3) Ditto. South of France; A. C. H., 1858.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Lenticus, L.",,"Leafy branchlets, with flowers. (1) Toulon, May, 1854; J. H. (2) Toulon, 2 Mar., 1866; W. F. Saunders.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Lenticus, L.",,"Leafy branchlet, with fruit. Caffa, 15 Oct., 1860; Dr. J. D. Hooker and D. Hanbury. ""Slopes of the hill on which the Convent stands; forms a small bush.""",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Twigs with leaves from the same shrub. These show extreme variation in the shape and size of leaves on the same branchlet and on separate branchlets. Monaco, 27 Oct., 1871.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Branchlets, with young fruit. (1) From a tree with a stem as thick as a man's, near the valley of the Crati. Calabria, 5 May, 1872. (2) Branchlet, with young fruit and leaf galls. From the grounds of the Instituto Agrario Castelmuvo, near Palermo, 21 May, 1872.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Branchlets with fruits (and detached fruits imported from Bassorah, 1873). Smyrna; S. H. Maltass, 1857.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Branchlets with flowers and fruit. Vauculse, May, 1854. Pont du Gard, 30 May, 1856.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Twigs with flowers and a leafy twig, and (2) detached fruits. (1) Villeneuve les Avrergnes, Vauculse, May, 1856. (2) Conques, Gard, Oct., 1849.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Twig with fruit and large-leaved twig. Smyrna, 21 Sept., 1860; Dr. J. D. Hooker, Balansa, and D. Hanbury. ""Very large and handsome trees. The turpentine is sometimes collected from them as incisions in the trunk show.""",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia Terebinthus, L.",,"Branchlets with fruit and palmate galls on the leafblinds. Jerusalem, 22 Oct., 1860; Dr. J. D. Hooker and D. Hanbury. ""These specimens I gathered from a large solitary tree growing in the yard of a coffee house between the Jaffa and Damascus gates. The tree was covered with these remarkable conoid galls. I observed the same kind of gall on a terebinth at Safed.""—D. H.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia vera, L.",,"Branchlet with detached fruits. Jerusalem, where there are three trees growing among some olives outside one of the gates. -Dr. D. J. Hooker and D. Hanbury, Sept.-Oct., 1860.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia vera, L.",,"Twig with leaves only. Instituto Agrario Castelnuovo, near Palermo ; 21 May, 1872 ; cultivated, trees grafted. [The leaves in this specimen are more wedge-shaped below and more obtuse than in specimen b.]",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia vera, L.",,"Leafy twig without flowers or fruit. This is a hybrid between Pistacia vera and P. Terebinthus. Instituto Agrario Castelnuovo, Palermo ; 21 May, 1872.",,
DICOTYLEDONES,ANACARDIACEAE,"Pistacia vera, L.",,"Branchlet with fruit. Beyront, 4 Nov., 1860 ; Dr. J. D. Hooker and D. Hanbury. From a tree in a courtyard in the town. [The leaves of this specimen are more oblong than in a.]",,
DICOTYLEDONES,ANACARDIACEAE,"Rhus Coriaria, L.",,"Leafy twig, with flower bud. Toulon, May, 1851.",,
DICOTYLEDONES,ANACARDIACEAE,"Rhus Coriaria, L.",,"Ditto, without flowers or fruit. Smyrna, 1854 ; S. Maltas. “ Called in Turkish'Somaki.' Its leaves are used for dyeing purposes, and the sap of the root is occasionally mixed with Scammony.” -S. M. A specimen of the root is in the Hanbury Materi Medica Collection.",,
DICOTYLEDONES,ANACARDIACEAE,"Rhus Coriaria, L.",,"Leafy twigs, with flower buds. Hebron, 22 Oct., 1860 ; Dr. J. D. Hooker. [This specimen has very small leaflets, and is marked Rhus Coriaria.]",,
