data-division,data-items-familyName,data-items-species-speciesName,data-items-species-folders-description
Dicotyledones,GERANIACEAE,Geranium Cicutorium [TA],"speciesName: Geranium columbinum L. folders: [{'description': '2 folders\\. Folder'}, {'description': 'Folder'}]"
Dicotyledones,GERANIACEAE,"Geranium dissectum [TA]; G. columbinum [G]. i. ""Geran: columbinum. field by black Park [Langley in Buckinghamshire]"" [JL]. ii. ""& Columbinum. Vincent's Rock [in the Avon Gorge]"" [JL]. iii. ""Geranium colubrinum. On the right hand Bank in the first Inclosure in the Road from Heydon upper Common to Corpusty Church [Norfolk]"" [B]. iv. ""Specimens and labels mixed when received at Kew. C.H.W. 28 March 1921"" [C.H. Wright, not identified]. Folder",
Dicotyledones,GERANIACEAE,"Geranium columbinum [G]. i. ""Ger: Columbin: Pangbourne [Berkshire]"" [JL].","Geranium columbinum \[G\]\. i\. ""Ger: Columbin: Pangbourne \[Berkshire\]"" \[JL\]"
Dicotyledones,GROSSULARIACEAE,Ribes alpinum L.,Ribes Rubra [TA]; R. alpinum [G]
Dicotyledones,HALORAGACEAE,Myriophyllum verticillatum L\.,Myriophyllum verticillatum \[TA\]
Dicotyledones,HALORAGACEAE,Myriophyllum verticillatum L\.,"i\. ""Myriophyllum verticillatum"" \[JL\]"
Dicotyledones,HIPPURIDACEAE,Hippuris vulgaris L\.,Hippuris vulgaris \[TA\]
Dicotyledones,HIPPURIDACEAE,Hippuris vulgaris L\.,"i\. ""Hippuris vulgaris"" \[JL\]"
Dicotyledones,HIPPURIDACEAE,Hippuris vulgaris L\.,"ii\. [On loose label:] ""Hippuris vulgaris. Mare's tail"" [?]"
Dicotyledones,HYPERICACEAE,Hypericum androsaemum L.,Hypericum androsaemum \[L\]
Dicotyledones,HYPERICACEAE,Hypericum androsaemum [G],Folder
Dicotyledones,HYPERICACEAE,Hypericum androsaemum [TA],Hypericum androsaemum \[TA\]
Dicotyledones,HYPERICACEAE,Hypericum elodes L.,Folder
Dicotyledones,HYPERICACEAE,Hypericum elodes L.,Folder
Dicotyledones,HYPERICACEAE,Hypericum elodes [TA],Folder
Dicotyledones,HYPERICACEAE,Hypericum elodes [G],Hypericum elodes \[G\]
Dicotyledones,HYPERICACEAE,Hypericum humifusum L,Folder 1\. Hypericum humifusum \[L\]\.
Dicotyledones,HYPERICACEAE,Hypericum humifusum L,Folder 2\. Hypericum humifusum \[TA\]
Dicotyledones,HYPERICACEAE,Hypericum humifusum [G],Hypericum humifusum \[G\]
Dicotyledones,HYPERICACEAE,Hypericum montanum L,Folder
Dicotyledones,HYPERICACEAE,Hypericum montanum L,Folder
Dicotyledones,HYPERICACEAE,Hypericum montanum [G],Folder
Dicotyledones,HYPERICACEAE,Hypericum montanum [TA],
Dicotyledones,HYPERICACEAE,Hypericum perforatum L.,1 folder\. Hypericum perforatum \[TA\]
Dicotyledones,HYPERICACEAE,Hypericum sp.,1 folder\. Hypericum quadrangulare \[TA\]. i\. [No flowers; possibly H. tetramerum Fr. (syn. H. quadrangulum L.).]
Dicotyledones,ABIATAE,Acinos arvensis (Lam.) Dandy,Folder
Dicotyledones,ABIATAE,Thymus acinos [TA],"Flora Scotica ed. 1, 319 (1777)."
Dicotyledones,ABIATAE,Thymus acinos [?],"speciesName: Ajuga chamaepitys (L.) Schreb. folders: [{'description': '1 folder\\. Teucrium chamaepitys [TA]\\. i\\. ""Teucrum chamaepitys"" [JL]'}]"
Dicotyledones,ABIATAE,Thymus acinos [?],speciesName: Ajuga reptans L. folders: [{'description': '1 folder\\. Ajuga reptans [?]'}]
Dicotyledones,ABIATAE,Thymus acinos [?],"speciesName: Ballota nigra L. folders: [{'description': '1 folder\\. Ballota nigra [TA]\\. i\\. ""Ballota alba Weston supra mare"" [JL]'}]"
Dicotyledones,ABIATAE,Thymus acinos [?],"speciesName: Calamintha ascendens Jord. folders: [{'description': '2 folders\\. Folder'}, {'description': 'Folder'}]"
Dicotyledones,ABIATAE,Melissa Calamintha [G],"Melissa Calamintha. Devonshire, Cornwal & c. [JL]. ii. ""Common Calamint near Dartford in the Lune"" [JL]."
Dicotyledones,ABIATAE,Melissa Calamintha [G],"by Mr Holkam [JL]. ii. ""Melissa Calamintha. Albury Surrey"" [JL]."
Dicotyledones,ABIATAE,Clinopodium vulgare L.,Clinopodium Vulgare [TA]. [No specimens in folder.]
Dicotyledones,ABIATAE,Galeopsis angustifolia Ehrh. ex Hoffm.,"Galeopsis hirta [TA]. i. ""Galeopsis hirta. Solandri. Sideritis arvensis latifolia hirsuta lutea. Ray. Syn. 242. In Corn fields near Bangor in Carnarvonshire, going from thence towards Snowdon"" [JL]."
Dicotyledones,ABIATAE,Galeopsis angustifolia Ehrh. ex Hoffm.,Galeopsis angustifolia Ehrh. ex Hoffm. [TA].
Dicotyledones,ABIATAE,"Galeopsis ladanum [G], Flora Scotica ed. 1, 1135 (1777).",Galeopsis segetum Neck.
Dicotyledones,ABIATAE,Galeopsis speciosa Mill,"Folder 1\. Galeopsis hirta [G]. i\. ""Galeopsis Eboracensis - Betonica hirta Huds."" [JL]. Sheet 1\. Galeopsis eboracensis [TA]; G. hirta [G]. i. Cites Ray's Syn. 242. ii. ""Yellow-flower'd field Ironwort. July. This Plant grows wild in the West Riding of Yorkshire, about Wakefield, Darfield, Sheffield & c. among Corn plentifully. It belongs to Linnaeus's Genus of Galeopsis, the lower Lip of the flower having the two elevated hollow Dents, which are the Characters of that Genus, but it is taken no Notice of by that Author under that Genus or any other. Hudson falsely calls it Betonica hirta. The Plant is about a foot or eighteen Inches high, & branched; the flowers have long Tubes, are of a light yellow Colour almost white, with the inside of the lower lip mark'd with a deeper yellow. It differs from the Galeopsis Tetrahit in having no gouty Swellings at the Joints, nor long Hairs upon the Leaves & Stalks, nor acutely serrated, nor long weak Aristae to the Calyces"" [JL]. iii. ""Prob. Galeopsis ochraleuca or Downy Hemp Nettle"" [?]."
Dicotyledones,ABIATAE,Galeopsis speciosa Mill,Folder 2\. Galeopsis speciosa Mill
Dicotyledones,ABIATAE,"Galeopsis tetrahit [G]. i. Cites Ray's Syn. 241. ii. ""Hemp-leav'd Dead Nettle with a particular'd flower. July & Aug! This beautiful Variety of Galeopsis Tetrahit is very frequent throughout the West Riding of Yorkshire"" [JL]. Folder","Galeopsis tetrahit \[G\]. i. Cites Ray's Syn. 241. ii. ""Hemp-leav'd Dead Nettle with a particular'd flower. July & Aug! This beautiful Variety of Galeopsis Tetrahit is very frequent throughout the West Riding of Yorkshire"" [JL]. Folder"
Dicotyledones,ABIATAE,Galeopsis tetrahit L\.,Galeopsis tetrahit \[TA\]
Dicotyledones,ABIATAE,Glechoma hederacea L\.,Glechoma hederacea \[TA\]
Dicotyledones,ABIATAE,Lamium album L\.,Lamium album \[TA\]
Dicotyledones,ABIATAE,Lamium amplexicaule L\.,Lamium amplexicaule \[TA\]
Dicotyledones,ABIATAE,Lamium purpureum L\.,Lamium purpureum \[TA\]
Dicotyledones,ABIATAE,Leonurus cardiaca L\.,Folder 1\. Leonurus cardiaca \[TA\]
Dicotyledones,ABIATAE,Leonurus cardiaca L\.,Folder 2\. Leonurus cardiaca \[TA\]
Dicotyledones,ABIATAE,Leonurus cardiaca [TA],Folder
Dicotyledones,ABIATAE,Leonurus cardiaca [TA],"speciesName: Marrubium vulgare L. folders: [{'description': 'Marrubium Vulgare [TA]. i. ""White Horehound"" [JL]'}]"
Dicotyledones,ABIATAE,Leonurus cardiaca [TA],"speciesName: Melittis melissophyllum L. folders: [{'description': 'Folder 1\\. Melittis melissophyllum [TA]'}, {'description': 'Folder 2\\. Melittis melissophyllum [TA]'}, {'description': 'Folder 3\\. Melittis melissophyllum [TA]'}, {'description': 'Folder 4\\. Melittis melissophyllum [TA]'}]"
Dicotyledones,ABIATAE,"Melittis melissophyllum [TA]. i. Cites Ray's Syn. 242. ii. ""Bastard Balm. June & July. This is found in the Woods about Totness in Devonshire, Haverford-west in Pembrokeshire, and about Net-",Folder
Dicotyledones,ABIATAE,"Melittis melissophyllum [G]. i. ""Melittis melissophyllum. S. Leonard's Forest in Sussex"" [JL]",Folder
Dicotyledones,ABIATAE,"Melittis melissophyllum [G]. i. ""Melittis melissophyllum Lin: S. Leonard's Forest, Sussex. May"" [JL]",Folder
Dicotyledones,ABIATAE,"Melittis melissophyllum [G]. i. ""Melittis melissophyllum"" [JL]","speciesName: Mentha aquatica L. folders: [{'description': 'Folder 1\\. Mentha hirsuta [TA]; M. aquatica Huds. [G]. i. ""Mentha hirsuta Lin. syst. nat. 444. Sisymbrium hirsutum. r. Syn. N° 7, seu fortassè N° 8"" [JL]. ii. ""N° 2. Mentha hirsuta Huds. Staminibus corolla longioribus"" [B]; ""Bryant. The true M. hirsuta Lin."" [JL].'}, {'description': 'Folder 2\\. Mentha hirsuta ut variety [TA]; M. aquatica Huds. var. [G]. i. ""No'}]"
Dicotyledones,ABIATAE,Mentha Hirsuta Huds. Found at Norwich,
Dicotyledones,ABIATAE,Mentha arvensis L.,Folder 2\. Mentha arvensis L.
Dicotyledones,ABIATAE,Mentha arvensis [TA],"Mentha arvensis \[TA\]. i\. ""Langley or Iver Heath"" \[JL\]. ii\. ""Bryant. right"" \[JL\]; ""Mentha arvensis. N° 3. Floribus verticillatis, & staminibus corolla longioribus. In N°s 1,2,3, w' ch are evidently the same Plant, you find all the Marks w' ch constitute the Differences between the arvensis, aquatica, & hirsuta, Huds. the Floribus capitatis therefore is not to be depended upon, no more than the length of the Stamina—and indeed I have found some Instances where the Floribus capitatis & verticillatis have been produced on different Branches from one and the same Root"" \[B\]."
Dicotyledones,ABIATAE,Mentha arvensis [G],"speciesName: Mentha ×gentilis L. folders: [{'description': 'Mentha gentilis \\[JL\\]\\. i\\. ""Mentha gentilis Lin\\:\\ex horto\\. In this the Peduncles are smooth & Leaves more acute, approaching to the lanceolate Figures\\. The Calyces are sprinkl\\:\\d with resinous shining Dots"" \\[JL\\]'}]"
Dicotyledones,ABIATAE,Mentha arvensis [G],"speciesName: Mentha ×niliaca Juss. et Jacq. var. villosa (Huds.) J.Fraser folders: [{'description': 'Folder 1\\. Mentha niliaca \\[JL\\]\\. i\\. ""Mentha niliaca Lin\\:\\ex horto\\. In this the Peduncles are smooth & Leaves more acute, approaching to the lanceolate Figures\\. The Calyces are sprinkl\\:\\d with resinous shining Dots"" \\[JL\\]'}, {'description': 'Folder 2\\. Mentha niliaca \\[TA\\]\\.'}, {'description': 'Folder 3\\. Mentha niliaca \\[TA\\]\\.'}]"
Dicotyledones,ABIATAE,"Mentha sylvestris [TA]; Var. Huds. [G]. i. ""Mentha sylvestris. Lin: Mentha longifolia. Huds: Between Penryn & Falmouth, Cornwal"" [JL]. ii. ""Mentha longifolia Huds. Mentha Sylvestris Lin. The Stamina in this Species are shorter than the Corollae. Lin. has made them longer. I suppose because he has seen them so—therefore the Length can be no Rule"" [B]; ""Bryant"" [JL]; ""This I take to be the M: longifolia Huds: & M: sylvestris Lin., but the Sample is not very good"" [JL]. [Specimen on far left is Mentha ×piperita.]",Folder
Dicotyledones,ABIATAE,"Mentha sylvestris var. Huds. [G]. i. ""[-af]fectionate [& hum]ble Servant... Godschall [who lived near Guildford in Surrey]"" [?].",Folder 3\. Mentha sylvestris Lin. [G]; M. villosa [TA]; var. Huds. Britannica? [G]. [Specimens probably diseased.]
Dicotyledones,ABIATAE,Mentha ×piperita L.,Folder 1\. Mentha viridis [TA].
Dicotyledones,ABIATAE,Mentha rotundifolia (L.) Huds.,Folder 1\. Mentha rotundifolia [TA].
Dicotyledones,LEGUMINOSAE,Anthyllis vulneraria L.,Anthyllis vulneraria \[L\]
Dicotyledones,LEGUMINOSAE,"Anthyllis vulneraria [TA]. i. ""Anthyllis vulneraria Frequent in Norfolk"" [B]; ""Bryant"" [JL].",Folder
Dicotyledones,LEGUMINOSAE,"Anthyllis vulneraria [TA]. i. ""Near Pembroke"" [JL]",Near Pembroke [JL]
Dicotyledones,LEGUMINOSAE,Astragalus danicus Retz.,Folder 1\. Astragalus danicus Retz.
Dicotyledones,LEGUMINOSAE,Astragalus danicus Retz.,Folder 2\. Astragalus danicus Retz.
Dicotyledones,LEGUMINOSAE,Astragalus Epiglotis [TA],"Astragalus Epiglotis \[TA\]. i\. ""An Astragalus arenarius? seu quid? In Anglia prope Portsmouth inventa a D. Banks"" \[JL\]. ii\. ""Astragalus arenarius"" \[? Banks\]."
Dicotyledones,LEGUMINOSAE,"Astragalus Epiglotis Linn. and A. arenarius Huds. [G]. Flora Scotica ed. 1, 400 (1777).",Astragalus Glycyphyllos [TA]
Dicotyledones,LEGUMINOSAE,Astragalus glycyphyllos L.,Folder 1\. Astragalus Glycyphyllos [TA]
Dicotyledones,LEGUMINOSAE,Genista anglica L.,Genista anglica [TA]
Dicotyledones,LEGUMINOSAE,Genista pilosa L.,"Genista pilosa [TA]. i. ""Genista pilosa Lin: near Culford & Lachford in Suffolk"" [JL]"
Dicotyledones,LEGUMINOSAE,Genista tinctoria L.,Genista tinctoria [TA]
Dicotyledones,LEGUMINOSAE,Hippocrepis comosa L.,Hippocrepis comosa [TA]
Dicotyledones,LEGUMINOSAE,Lathyrus aphaca L.,Folder 1\. Lathyrus aphaca [TA]
Dicotyledones,LEGUMINOSAE,Lathyrus aphaca L.,Folder 2\. Lathyrus aphaca [TA]
Dicotyledones,LEGUMINOSAE,Lathyrus Aphaca [TA],Folder
Dicotyledones,LEGUMINOSAE,Lathyrus Aphaca [G],
Dicotyledones,LEGUMINOSAE,Lathyrus hirsutus L.,"Lathyrus hirsutus \[TA\]. i\. ""Lathyrus hirsutus near Mundenhall 5 Miles from Maldon in Essex"" \[JL\]. ii. ""Lathyrus hirsutus. an English Plant about Rochford in Essex. Clement's"" \[JL\]."
Dicotyledones,LEGUMINOSAE,Lathyrus japonicus Willd.,"Folder 1\. Pisum Maritimum \[TA\]. i. Cites Ray's Syn. 319. ii. ""Sea Pease. Aug'. This is found upon our Sea Coasts, but not common. I gathered this Specimen between Aldborough & Orford in Suffolk. Upon the Sea Beach among the Stones, where it grows in the greatest Plenty"" \[JL\]."
Dicotyledones,LEGUMINOSAE,Lathyrus japonicus Willd.,"Folder 2\. Pisum Maritimum \[TA\]. i. Cites Linn., Sp. Pl. ed. 1: 727 (1753). ii. ""Portland"" \[JL\]."
Dicotyledones,LEGUMINOSAE,Lathyrus japonicus Willd.,"Folders 3, 4 and 5\. Pisum Maritimum \[G\]."
Dicotyledones,LEGUMINOSAE,Lathyrus montanus Bernh.,"Orobus tuberosus \[TA\]. i. ""Q. an Lathyrus hirsutus, I think it can't be Orobus tuberosus"" \[JL\]."
Dicotyledones,LEGUMINOSAE,Lathyrus nissolia L.,"Folder 1\. Orobus tuberosus \[TA\]. i. ""Q. an Lathyrus hirsutus, I think it can't be Orobus tuberosus"" \[JL\]."
Dicotyledones,LEGUMINOSAE,Lathyrus Nissolia [TA],Folder
Dicotyledones,LEGUMINOSAE,Lathyrus Nissolia [G],Lathyrus palustris L.
Dicotyledones,LEGUMINOSAE,Lathyrus palustris L.,Folder
Dicotyledones,LEGUMINOSAE,Lathyrus palustris L.,Lathyrus palustris L.
Dicotyledones,LEGUMINOSAE,"Lathyrus sylvestris [G]. i. Cites Linn., Sp. Pl. ed. 1: 733 (1753); Ray's Syn. ii. ""Marsh Chickling Vetch. July & Aug. Upon the Bogs in Charley Forest, near Bardon Hill, Leicestershire. This was found upon some Bogs in Lincolnshire"" [JL]. Folder","Lathyrus sylvestris \[G\]. i. Cites Linn., Sp. Pl. ed. 1: 733 (1753); Ray's Syn. ii. ""Marsh Chickling Vetch. July & Aug. Upon the Bogs in Charley Forest, near Bardon Hill, Leicestershire. This was found upon some Bogs in Lincolnshire"" [JL]. Folder"
Dicotyledones,LEGUMINOSAE,"Lathyrus palustris [TA]. i. ""Lathyrus palustris on the Meadows near Hornhill Ferry"" [B]; ""By Mr. Bryant"" [JL].","Lathyrus palustris \[TA\]. i\. ""Lathyrus palustris on the Meadows near Hornhill Ferry"" \[B\]; ""By Mr. Bryant"" \[JL\]"
Dicotyledones,LEGUMINOSAE,"Lathyrus sylvestris L. 1 folder. Lathyrus Sylvestris [TA]. i. ""Lathyrus Sylvestris, at Brundale near Blosfield. Mr. Charles Bryant"" [B; handwriting of Henry Bryant].","Lathyrus sylvestris L\. 1 folder\. Lathyrus Sylvestris \[TA\]. i\. ""Lathyrus Sylvestris, at Brundale near Blosfield\. Mr\. Charles Bryant"" \[B; handwriting of Henry Bryant\]"
Dicotyledones,LEGUMINOSAE,"Lotus corniculatus L. 1 folder. Lotus corniculata [TA]. i. ""Sands near Pembroke"" [JL].","Lotus corniculatus L\. 1 folder\. Lotus corniculata \[TA\]. i\. ""Sands near Pembroke"" \[JL\]"
Dicotyledones,LEGUMINOSAE,Lotus subbiflorus Lag. 1 folder. Lotus corniculatus β hirsuta [G].,Lotus subbiflorus Lag\. 1 folder\. Lotus corniculatus β hirsuta \[G\]
Dicotyledones,LEGUMINOSAE,Medicago arabica (L.) Huds. 1 folder. Medicago Arabica [TA].,Medicago arabica (L.) Huds\. 1 folder\. Medicago Arabica \[TA\]
Dicotyledones,LEGUMINOSAE,Medicago falcata L. 2 folders. Folder,Medicago falcata L\. 2 folders\. Folder
Dicotyledones,LEGUMINOSAE,Medicago falcata [TA].,"Medicago falcata from Norfolk, Mr. Hudson [JL]. ii. ""Medicago falcata. Very plentifully on dry Banks on the South West Side of Norwich"" [B]. Folder"
Dicotyledones,LEGUMINOSAE,Medicago falcata [G],speciesName: Medicago lupulina L. folders: [{'description': 'Medicago lupulina \\[TA\\]'}]
Dicotyledones,LEGUMINOSAE,Medicago falcata [G],speciesName: Medicago minima (L.) Bartol. folders: [{'description': 'Medicago polymorpha β \\[TA\\]'}]
Dicotyledones,LEGUMINOSAE,Medicago falcata [G],speciesName: Medicago polymorpha L. folders: [{'description': 'Medicago polymorpha β \\[G\\]'}]
Dicotyledones,LEGUMINOSAE,Medicago falcata [G],speciesName: Medicago sativa L. folders: [{'description': 'Medicago sativa \\[TA\\]'}]
Dicotyledones,LEGUMINOSAE,Medicago falcata [G],"speciesName: Melilotus altissima Thuill. folders: [{'description': 'Trifolium Millilotus officinalis \\[TA\\], Flora Scotica ed. 1, 402 (1777). i. ""Q: what Melilot. Percy Lodge [near Colnbrook]"" \\[JL\\]'}]"
Dicotyledones,LEGUMINOSAE,Medicago falcata [G],speciesName: Onobrychis viciifolia Scop. folders: [{'description': 'Folder'}]
Dicotyledones,LEGUMINOSAE,Hedysarum Onobrychis [G],Folder
Dicotyledones,LEGUMINOSAE,Hedysarum Onobrychis [TA],
Dicotyledones,LEGUMINOSAE,Ononis repens L.,Ononis Arvensis [TA]
Dicotyledones,LEGUMINOSAE,Ononis spinosa L.,Ononis Spinosa [TA]
Dicotyledones,LEGUMINOSAE,Ornithopus perpusillus L.,"Ornithopus perpusillus [TA]. i. ""N: 14. Comrie. June 10th"" [Stuart]; ""Ornithopus perpusillus"" [JL]."
Dicotyledones,LEGUMINOSAE,Oxytropis halleri Bunge,"Astragalus Uralensis [TA], Flora Scotica ed. 1, t., 401 (1777). i. ""Astragalus uralensis from Scotland"" [JL]. ii. ""No. 22. Carndearg"" [Stuart]; ""Astragalus uralensis. In Glen Creran"" [JL]. [Copy of t. Flora Scotica pasted into folder.]"
Dicotyledones,LEGUMINOSAE,Pisum sativum L.,Pisum sativum β [TA]
Dicotyledones,LEGUMINOSAE,Sarothamnus scoparius (L.) Wimmer ex Koch,Spartium scoparium [G]
Dicotyledones,LEGUMINOSAE,Trifolium arvense L.,Trifolium Arvense [TA]
Dicotyledones,LEGUMINOSAE,Trifolium campestre Schreb.,"Trifolium agrarium [G]. i. ""An Trifol: procumbens? Percy Lodge [near Colnbrook], & pastures. June"" [JL]. [Specimen on left side of folder is T. dubium.]"
Dicotyledones,LEGUMINOSAE,Trifolium campestre Schreb.,Trifolium agrarium [TA]
Dicotyledones,LEGUMINOSAE,Trifolium dubium Sibth.,"Trifolium filliforme [TA]. i. ""This near Slough, the Horse Road to Windsor on a sandy Place. May 6th. The Stalks procumbent, the Roots fibrous with a few tubercles on the Fibres, the Leaves smooth & striated, & emarginated. It agrees exactly with Ray's Fig: of Trifol: filliforme, except that the flowers have little or no Peduncles"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium dubium Sibth.,Trifolium filliforme [TA]
Dicotyledones,LEGUMINOSAE,"Trifolium procumbens [G]. i. ""T. procumbens. This is right, tho' there is very little Difference between this & T: filiforme. Lin: says fol: non striato i.e. false"" [JL]. [See also T. campestris Folder 1.]","Trifolium procumbens \[G\]. i. ""T. procumbens. This is right, tho' there is very little Difference between this & T: filiforme. Lin: says fol: non striato i.e. false"" [JL]. [See also T. campestris Folder 1.]"
Dicotyledones,LEGUMINOSAE,Trifolium fragiferum L.,"Trifolium fragiferum \[TA\]. i. ""This by Dr. Hope. Q: is it Scotch"" [JL]. ii. ""Chester & Frogmore Garden naturaly"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium fragiferum L.,"Trifolium fragiferum \[TA\]. i. ""This by Dr. Hope. Q: is it Scotch"" [JL]. ii. ""Chester & Frogmore Garden naturaly"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium glomeratum L.,"Trifolium Glomeratum \[TA\]. i. ""Trifol: glomerat: Blackheath by the Green Man. Trifol: ornithopoid: grows with it. May"" [JL]. ii. ""Trifolium glomeratum. By no means a Scarce Plant on the South Side of Norwich"" [B]; ""Mr. Bryant"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium glomeratum L.,"Trifolium Glomeratum \[TA\]. i. ""Trifol: glomerat: Blackheath by the Green Man. Trifol: ornithopoid: grows with it. May"" [JL]. ii. ""Trifolium glomeratum. By no means a Scarce Plant on the South Side of Norwich"" [B]; ""Mr. Bryant"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium medium L.,"Trifolium medium \[TA\]; T. alpestre Linn. and Afzelius \[G\]. i. ""Trifolium medium Huds. T. alpestre Linn:"" [JL]. ii. ""T. medium between Chatham & Canterbury"" [JL]. iii. ""Trifolium medium Huds. Trifolium [montanum deleted] alpestre Lin. On the Banks & Bound. Mires (? of Corpusty Field, near the Church; in Thompson's Grove at Thorpe near Norwich and indeed is very common in Norfolk"" [B]."
Dicotyledones,LEGUMINOSAE,Trifolium medium L.,"Trifolium medium \[TA\]; T. alpestre Linn. and Afzelius \[G\]. i. ""Trifolium medium Huds. T. alpestre Linn:"" [JL]. ii. ""T. medium between Chatham & Canterbury"" [JL]. iii. ""Trifolium medium Huds. Trifolium [montanum deleted] alpestre Lin. On the Banks & Bound. Mires (? of Corpusty Field, near the Church; in Thompson's Grove at Thorpe near Norwich and indeed is very common in Norfolk"" [B]."
Dicotyledones,LEGUMINOSAE,Trifolium ochroleucum Huds.,"Trifolium ochroleucum \[TA\]. i. ""Trifolium ochroleucum. Near Bury [Bury St. Edmunds], Suffolk"" [JL]. ii. ""Trifolium ochroleucum. This is no uncommon Plant in the Neighbourhood of Norwich; particularly in a Place called Thompsons Grove, in the village of Thorpe, laying in the Road to Yarmouth and ab! a Mile from the City—I have reserved some better Specimens for you"" [B]; ""Insert this in Ray"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium ochroleucum Huds.,"Trifolium ochroleucum \[TA\]. i. ""Trifolium ochroleucum. Near Bury [Bury St. Edmunds], Suffolk"" [JL]. ii. ""Trifolium ochroleucum. This is no uncommon Plant in the Neighbourhood of Norwich; particularly in a Place called Thompsons Grove, in the village of Thorpe, laying in the Road to Yarmouth and ab! a Mile from the City—I have reserved some better Specimens for you"" [B]; ""Insert this in Ray"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium ornithopodioides L.,Trifolium ornithopodioides L.
Dicotyledones,LEGUMINOSAE,Trifolium ornithopodioides L.,Trifolium ornithopodioides L.
Dicotyledones,LEGUMINOSAE,"Trifolium ornithopodioides [G]. i. ""Trifolium ornithopodioides. Tuthill [Tothill] Fields"" [JL].",Folder
Dicotyledones,LEGUMINOSAE,"Trifolium ornithopodioides [TA]. i. ""Trifolium Ornithopodioides. Common on dry Sandy Banks on the South Side of Norwich"" [B].",Trifolium pratense L.
Dicotyledones,LEGUMINOSAE,Trifolium pratense L.,"1 folder. Trifolium pratense [TA]. i. ""In the West of England"" [JL]."
Dicotyledones,LEGUMINOSAE,Trifolium repens L.,"1 folder. Trifolium repens [TA]. i. ""Trifolium repens. A very extraordinary variety to be found in a gravel Pit, where the Soil is generally unfavourable to Luxuriance. A Specimen of this for Mr. Banks, if acceptable"" [B]."
Dicotyledones,LEGUMINOSAE,[Species prone to the type of abnormality displayed in these specimens.],Trifolium scabrum L.
Dicotyledones,LEGUMINOSAE,Trifolium scabrum L.,2 folders.
Dicotyledones,LEGUMINOSAE,Trifolium scabrum L.,Folder
Dicotyledones,LEGUMINOSAE,Trifolium scabrum [TA],Trif: scabrum for certain. It agrees wth the Specimens in Buddle. hort. sicc. but are very small
Dicotyledones,LEGUMINOSAE,Trifolium maritimum [TA],Folder 2\. Trifolium maritimum
Dicotyledones,LEGUMINOSAE,Trifolium maritimum [TA],"Trifolium maritimum [G]. i. ""Below St. Vincent's Rocks [Avon Gorge] & Aust's Passage [Severn Estuary]"" [JL]"
Dicotyledones,LEGUMINOSAE,Trifolium maritimum [TA],"Trifolium maritimum [G]. i. ""Weymouth"" [JL]. ii. ""Tri-fol: marit: from Bulls: [Bulstrode Park] by seeds"" [JL]"
Dicotyledones,LEGUMINOSAE,Trifolium striatum L.,Folder 3\. Trifolium striatum L.
Dicotyledones,LEGUMINOSAE,Trifolium striatum L.,"Trifolium striatum L. [G]. i. ""Tri-fol: striatum from Bulls: [Bulstrode Park] by seeds"" [JL]"
Dicotyledones,LEGUMINOSAE,Trifolium striatum L.,"Trifolium striatum L. [G]. i. ""Tri-fol: striatum from Bulls: [Bulstrode Park] by seeds"" [JL]"
Dicotyledones,LEGUMINOSAE,Trifolium striatum [TA],Trifol: striat: Buddle's Hort: sic: Kew Green. Percy L: [Percy Lodge] Park by the Greenhouse. June
Dicotyledones,LEGUMINOSAE,"Trifolium striatum [G]. i. ""Trifolium glomeratum. Not uncommon on dry Sandy Grounds"" [B]. ii. ""Trifolium Striatum. var. common on dry Sandy Ground"" [B]. iii. ""T. striat: Inverkeithing"" [JL]. iv. ""Scotland. Yalden"" [JL]. v. ""Hoddesdon [near Hertford]"" [JL]. vi. ""Nash Point, Glamorgan-shire"" [JL]. vii. ""Trifol: Enfield Wash. Hartford:"" [JL].",Folder
Dicotyledones,LEGUMINOSAE,"Trifolium striatum [G]. i. ""This Specimen from Edinburgh Park"" [JL]. ii. ""I take this to be more of the T. striatum. a smaller sample"" [JL].",Trifolium subterranean [TA]
Dicotyledones,LEGUMINOSAE,Trifolium subterranean L.,Folder 1\. Trifolium subterranean [TA]
Dicotyledones,LEGUMINOSAE,Ulex europaeus L.,Ulex europaeus [TA]
Dicotyledones,LEGUMINOSAE,Vicia cracca L.,"Vicia cracca [TA]. i. ""Hoddesdon [near Hertford]"" [JL]"
Dicotyledones,LEGUMINOSAE,Vicia hirsuta (L.) S.F.Gray,"Folder 1\. Ervum hirsutum [TA], Flora Scotica ed. 1, 398 (1777). i."
Dicotyledones,LEGUMINOSAE,Vicia hirsuta (L.) S.F.Gray,Folder 2\. Vicia hirsuta [TA]
Dicotyledones,LENTIBULARIACEAE,Pinguicula alpina L\.,"Pinguicula alpina \[TA\]. i\. ""Pinguicula alpina. Lin: E Lapponia: inventur etiam in Scotia boreali. Flos albus fauce lutea"" \[JL\]"
